Event name,Public title,Start date/time,Status,Current booking format,Current booking format value,Client confirmed / correction,Current stored booking_type,Bookings enabled,External booking link set,Notes
Barons Birthday Party,Celebrate Barons 25th Birthday at The Cricketers,23/10/2025 19:00,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
Band Night - Southern Brothers,,24/10/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Jazz Night - Horsell Jazz Hounds,,27/10/2025 19:30,rejected,Not set,,,,No,No,No booking format is currently recorded
Monthly Quiz Night,,27/10/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz,,28/10/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Halloween Feasting by Candlelight,,31/10/2025 17:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Halloween Feasting by Candlelight,,31/10/2025 17:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Band Night: Southern Brothers,,08/11/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Live Music: Naiko,,10/11/2025 19:30,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz,,11/11/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Quiz Night,,17/11/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Jazz Night - Panama Cafe Orchestra,,24/11/2025 19:30,rejected,Not set,,,,No,No,No booking format is currently recorded
Monthly Quiz Night,,24/11/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz,,25/11/2025 19:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz - Final Quiz for 2025,,25/11/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz - Christmas Edition,,09/12/2025 19:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Christmas Carols,,09/12/2025 19:30,rejected,Not set,,,,No,No,No booking format is currently recorded
Charity Pub Quiz,,09/12/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Band Night: Chase The Tail,,13/12/2025 20:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Christmas Carols,,23/12/2025 19:00,rejected,Not set,,,,No,No,No booking format is currently recorded
New Years Eve Gala,,31/12/2025 19:00,rejected,Not set,,,,No,No,No booking format is currently recorded
Quiz with Elliott,Quiz Night with Elliott at The Cricketers,06/01/2026 19:30,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
live music,Live Music at The Cricketers,12/01/2026 20:00,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
Elliot's Quiz,Join Us for Elliot's Quiz Night at The Cricketers!,20/01/2026 19:30,completed,Not set,,,,Yes,No,No booking format is currently recorded; Bookings are enabled but no format is set
